"4617","GENR","PE-1"
"4618","GENR","CA"
"4620","GENR","CA"
"4620","GENR","PE-1"
"4621","GENR","CA"
"4630","GENR","CA"
"4631","GENR","CA"
"4631","GENR","OC"
"4693","GENR","CA"
"4717","GENR","CA"
"4719","GENR","CA"
"4719","GENR","WI"
"4722","GENR","CA"
"4722","GENR","NW"
"4722","GENR","PE-1"
"4731","GENR","SS"
"4743","GENR","SS"
"4768","GENR","USEM"
"4773","GENR","FL"
"4774","GENR","FL"
"4775","GENR","FL"
"4776","GENR","FL"
"4776","GENR","HUM"
"4777","GENR","FL"
"4777","GENR","HUM"
"4780","GENR","FL"
"4780","GENR","HUM"
"4780","GENR","WI"
"4781","GENR","FL"
"4781","GENR","HUM"
"4797","GENR","FL"
"4797","GENR","HUM"
"4799","GENR","SS"
"4800","GENR","SS"
"4801","GENR","SS"
"4803","GENR","FL"
"4804","GENR","HUM"
"4807","GENR","HUM"
"4807","GENR","WI"
"4814","GENR","FL"
"4822","GENR","FL"
"4823","GENR","FL"
"4823","GENR","HUM"
"4823","GENR","WI"
"4827","GENR","FL"
"4828","GENR","FL"
"4828","GENR","HUM"
"4831","GENR","FL"
"4832","GENR","FL"
"4904","GENR","FL"
"4905","GENR","FL"
"4907","GENR","FL"
"4907","GENR","HUM"
"4908","GENR","FL"
"4908","GENR","HUM"
"4909","GENR","FL"
"4909","GENR","HUM"
"4909","GENR","WI"
"4916","GENR","FL"
"4917","GENR","FL"
"4926","GENR","FL"
"6311","GENR","SS"
"4957","GENR","QR"
"4957","GENR","SS"
"4958","GENR","QR"
"4958","GENR","SS"
"4959","GENR","SS"
"4960","GENR","SS"
"4961","GENR","SS"
"4962","GENR","SS"
"4963","GENR","SS"
"4964","GENR","SS"
"4965","GENR","QR"
"4965","GENR","SS"
"4966","GENR","QR"
"4966","GENR","SS"
"4970","GENR","QR"
"4970","GENR","SS"
"5015","GENR","SS"
"5053","GENR","SS"
"5054","GENR","SS"
"5055","GENR","SS"
"5064","GENR","SS"
"5086","GENR","SS"
"5090","GENR","SS"
"5105","GENR","SS"
"5107","GENR","USEM"
"5108","GENR","USEM"
"5110","GENR","USEM"
"5111","GENR","FL"
"5112","GENR","FL"
"5112","GENR","HUM"
"5112","GENR","WI"
"5113","GENR","SS"
"5116","GENR","UWS"
"5117","GENR","UWS"
"5121","GENR","PE-1"
"5125","GENR","HUM"
"5125","GENR","SS"
"5130","GENR","PE-1"
"5131","GENR","PE-1"
"5132","GENR","PE-1"
"5133","GENR","PE-1"
"5134","GENR","QR"
"5134","GENR","SS"
"5135","GENR","FL"
"5145","GENR","USEM"
"5145","GENR","WI"
"5158","GENR","FL"
"5206","GENR","SN"
"5288","GENR","SN"
"5330","GENR","FL"
"5330","GENR","HUM"
"5330","GENR","WI"
"6174","GENR","SS"
"6175","GENR","PE-1"
"5353","GENR","SS"
"6176","GENR","HUM"
"6177","GENR","FL"
"6177","GENR","HUM"
"6177","GENR","OC"
"6178","GENR","HUM"
"6178","GENR","NW"
"6179","GENR","HUM"
"6180","GENR","FL"
"6180","GENR","HUM"
"6181","GENR","NW"
"6181","GENR","SS"
"5361","GENR","SS"
"5361","GENR","WI"
"6043","GENR","SS"
"6044","GENR","SS"
"6045","GENR","SS"
"5374","GENR","SN"
"5375","GENR","SN"
"5376","GENR","QR"
"5376","GENR","SS"
"5381","GENR","SN"
"5382","GENR","SN"
"6046","GENR","SS"
"6223","GENR","FL"
"6223","GENR","HUM"
"6224","GENR","FL"
"6224","GENR","HUM"
"6225","GENR","FL"
"6225","GENR","HUM"
"6226","GENR","FL"
"6226","GENR","HUM"
"6227","GENR","FL"
"6227","GENR","HUM"
"6228","GENR","FL"
"6228","GENR","HUM"
"6229","GENR","FL"
"6229","GENR","HUM"
"6229","GENR","WI"
"6230","GENR","FL"
"6230","GENR","HUM"
"6230","GENR","WI"
"6231","GENR","HUM"
"6232","GENR","FL"
"6232","GENR","HUM"
"6233","GENR","FL"
"6233","GENR","HUM"
"6233","GENR","NW"
"6234","GENR","FL"
"6234","GENR","HUM"
"6234","GENR","NW"
"6234","GENR","WI"
"6235","GENR","HUM"
"6192","GENR","CA"
"6193","GENR","CA"
"6194","GENR","CA"
"5416","GENR","HUM"
"5416","GENR","NW"
"5427","GENR","FL"
"5427","GENR","HUM"
"5427","GENR","WI"
"6213","GENR","FL"
